MTS25	Tensile stress
4.295	390.4818
4.2991	390.4024
4.3042	390.8312
4.3093	391.2906
4.3132	390.6237
4.3179	390.8691
4.3228	391.2559
4.3268	390.8008
4.3327	391.7419
4.3364	391.1119
4.34	390.5017
4.3447	390.7986
4.3503	391.4831
4.3547	391.3557
4.3589	391.1229
4.3639	391.4676
4.3681	391.1154
4.3728	391.4871
4.3782	391.7451
4.3817	390.9423
4.3857	390.7673
4.3909	391.433
4.396	391.6949
4.4	391.3452
4.4045	391.4288
4.4093	391.5544
4.4134	391.3647
4.419	391.9519
4.4231	391.5718
4.4269	391.1075
4.4315	391.3929
4.4367	391.7822
4.4411	391.6059
4.4453	391.4964
4.4501	391.8137
4.4543	391.6226
4.4592	391.8158
4.4647	392.0314
4.4681	391.4985
4.4723	391.4206
4.4772	391.714
4.4825	391.9951
4.4866	391.7451
4.491	391.8437
4.4959	391.9722
4.4999	391.698
4.5055	392.1789
4.5098	391.9257
4.5133	391.5092
4.518	391.7253
4.5232	392.0126
4.5278	391.9831
4.532	391.8784
4.5367	392.0153
4.541	391.9352
4.5455	391.9742
4.551	392.424
4.5546	391.8856
4.5587	391.7884
4.5638	392.0009
4.5688	392.349
4.5728	391.9748
4.5772	392.0064
4.5823	392.3768
4.5863	392.0338
4.5913	392.4239
4.5959	392.243
4.5996	391.9359
4.6042	392.0024
4.6091	392.3589
4.6139	392.3187
4.6179	392.0477
4.6227	392.4016
4.6275	392.4171
4.6321	392.5552
4.6375	392.8091
4.6412	392.1165
4.6451	392.005
4.6499	392.3712
4.6552	392.7988
4.659	392.2852
4.6632	392.218
4.6685	392.815
4.6727	392.5909
4.6781	392.8668
4.6828	392.7379
4.6863	392.1262
4.6907	392.2513
4.6958	392.7512
4.7003	392.7291
4.7042	392.3219
4.7089	392.67
4.7141	392.8689
4.7187	392.9542
4.7238	393.0847
4.7274	392.6141
4.7317	392.2889
4.7366	392.7584
4.7417	393.0101
4.7455	392.7057
4.7496	392.6094
4.755	393.0251
4.7594	392.9014
4.7649	393.2907
4.7691	392.9854
4.7728	392.6754
4.7772	392.6689
4.7823	393.0137
4.7869	393.077
4.791	392.8391
4.7954	392.8701
4.8009	393.1373
4.8055	393.0919
4.8106	393.3073
4.8144	392.9449
4.8185	392.7907
4.823	392.9405
4.8284	393.3072
4.8324	393.0397
4.8365	392.9344
4.8421	393.3135
4.8464	393.1696
4.8518	393.4641
4.8563	393.2433
4.86	392.9119
4.8644	392.9422
4.8694	393.2448
4.8743	393.3443
4.8783	393.1746
4.8828	393.2021
4.8878	393.3219
4.8922	393.2646
4.8978	393.8499
4.9015	393.1931
4.9055	392.998
4.9101	393.1909
4.9155	393.4688
4.9196	393.2589
4.924	393.2173
4.9294	393.5887
4.9335	393.2911
4.9386	393.6546
4.9433	393.711
4.9468	393.2011
4.9511	393.2026
4.956	393.4026
4.961	393.6689
4.9651	393.309
4.9697	393.3909
4.975	393.8244
4.9792	393.5555
4.9849	394.0943
4.9885	393.4132
4.9925	393.256
4.9972	393.4124
5.0021	393.931
5.0066	393.6214
5.0108	393.4234
5.016	394.0108
5.0201	393.588
5.0253	394.067
5.0304	394.0157
5.0337	393.3666
5.038	393.3604
5.043	393.853
5.0482	394.0331
5.0519	393.652
5.0565	393.7089
5.0616	394.0445
5.0657	393.864
5.0713	394.3654
5.075	393.8955
5.0791	393.5012
5.0837	393.7607
5.0888	394.0955
5.0933	393.9858
5.0974	393.8976
5.1025	394.1237
5.1067	394.014
5.1117	394.2496
5.1168	394.317
5.1202	393.8408
5.1244	393.6989
5.1293	394.0743
5.1345	394.297
5.1385	394.0451
5.1432	394.0571
5.1481	394.3172
5.1524	394.1111
5.1582	394.7498
5.1618	394.102
5.1658	393.9222
5.1702	394.0216
5.1757	394.4688
5.18	394.2057
5.1844	394.1188
5.1894	394.3986
5.1936	394.1842
5.1986	394.5839
5.2039	394.7418
5.2074	394.0807
5.2114	394.0177
5.2168	394.3329
5.2219	394.6621
5.2259	394.1947
5.2304	394.3446
5.2353	394.5182
5.2393	394.2824
5.2451	394.9708
5.2491	394.4454
5.2528	394.0706
5.2574	394.2425
5.263	394.8023
5.2673	394.5763
5.2716	394.4274
5.2767	394.7151
5.2807	394.4328
5.2858	394.7925
5.2912	394.9934
5.2947	394.3466
5.2989	394.2089
5.3041	394.6561
5.3094	394.9254
5.3131	394.5385
5.3178	394.6689
5.3228	394.8531
5.3267	394.5238
5.3323	395.0952
5.3366	394.7935
5.3403	394.304
5.345	394.4847
5.3502	394.9538
5.3549	394.8846
5.359	394.752
5.364	394.9734
5.3684	394.8175
5.3731	394.9456
5.3786	395.2307
5.3821	394.6498
5.3862	394.462
5.3911	394.8818
5.3963	395.1004
5.4003	394.8189
5.4049	394.8926
5.4097	395.0386
5.4139	394.8578
5.4196	395.4513
5.4239	395.0414
5.4276	394.6801
5.4322	394.8409
5.4373	395.1628
5.4421	395.1017
5.4461	394.9488
5.4511	395.1842
5.4554	395.0175
5.4599	395.068
5.4658	395.6647
5.4694	394.9411
5.4736	394.8569
5.4786	395.0887
5.4837	395.5334
5.4878	395.0393
5.4922	395.1024
5.4976	395.5637
5.5017	395.1164
5.5068	395.5493
5.5115	395.3855
5.5152	394.9409
5.5198	395.0097
5.525	395.5106
5.5297	395.4306
5.5337	395.0595
5.5385	395.4626
5.5432	395.4278
5.548	395.5248
5.5533	395.7935
5.5571	395.1174
5.561	394.9546
5.566	395.4049
5.5711	395.7548
5.5751	395.2291
5.5794	395.1902
5.5848	395.7621
5.5891	395.5366
5.5945	395.8618
5.599	395.683
